timestep,scenario,ev_mw,dc_mw,total_mw,ev_bus_voltage_pu,ai_bus_voltage_pu,dist_bus_voltage_pu,transformer_loading_pct,n_violations_pre,voltage_violation,transformer_overload,optimization_triggered,optimization_feasible,opt_runtime_sec,demand_reduction_mw,optimized_total_mw,post_opt_ev_voltage,post_opt_ai_voltage,n_violations_post
0,low_stress,0.467,0.0,0.467,0.9528,1.0075,1.0184,0.0,0,False,False,False,,,0.0,,,,
1,low_stress,0.419,0.0,0.419,0.9575,1.0084,1.0192,0.0,0,False,False,False,,,0.0,,,,
2,low_stress,1.333,1.19,2.523,0.8674,0.9383,0.9877,0.0,5,True,False,True,True,1.7953,1.526,0.997,0.9087,0.9995,2
3,low_stress,0.024,0.957,0.981,0.9789,0.9694,1.0109,0.0,0,False,False,False,,,0.0,,,,
4,low_stress,1.657,0.0,1.657,0.8601,0.9907,1.0017,0.0,3,True,False,True,True,0.0246,0.804,0.853,0.9201,1.0015,2
5,low_stress,0.829,0.656,1.484,0.9129,0.971,1.0029,0.0,2,True,False,True,True,0.0264,0.812,0.672,0.9349,1.0042,1
6,low_stress,0.103,1.069,1.172,0.9696,0.9623,1.0077,0.0,0,False,False,False,,,0.0,,,,
7,low_stress,0.0,2.38,2.38,0.959,0.905,0.99,0.0,2,True,False,True,True,0.0234,2.38,0.0,0.9964,1.0154,0
8,low_stress,0.431,0.48,0.911,0.9486,0.9857,1.0116,0.0,1,True,False,True,True,0.0228,0.911,0.0,0.9964,1.0154,0
9,low_stress,0.961,1.658,2.62,0.889,0.9224,0.986,0.0,5,True,False,True,True,0.0225,2.62,0.0,0.9964,1.0154,0
10,low_stress,1.072,0.0,1.072,0.9029,0.9984,1.0094,0.0,2,True,False,True,True,0.0228,0.409,0.664,0.9356,1.0044,1
11,low_stress,0.45,1.581,2.032,0.9304,0.9324,0.9941,0.0,3,True,False,True,True,0.0214,1.99,0.041,0.9928,1.0148,0
12,low_stress,0.0,0.0,0.0,0.9964,1.0154,1.0262,0.0,0,False,False,False,,,0.0,,,,
13,low_stress,0.628,0.925,1.554,0.9251,0.9606,1.0015,0.0,2,True,False,True,True,0.0232,1.554,0.0,0.9964,1.0154,0
14,low_stress,0.838,0.0,0.838,0.9213,1.0018,1.0127,0.0,2,True,False,True,True,0.0231,0.838,0.0,0.9964,1.0154,0
15,low_stress,0.809,0.0,0.809,0.9236,1.0022,1.0131,0.0,2,True,False,True,True,0.0228,0.216,0.593,0.9416,1.0055,1
16,low_stress,1.148,1.653,2.8,0.8752,0.9204,0.9836,0.0,6,True,False,True,True,0.0229,2.759,0.041,0.9928,1.0148,0
17,low_stress,0.561,0.0,0.561,0.9443,1.006,1.0168,0.0,1,True,False,True,True,0.0214,0.561,0.0,0.9964,1.0154,0
18,low_stress,0.0,0.0,0.0,0.9964,1.0154,1.0262,0.0,0,False,False,False,,,0.0,,,,
